"man.source","scenario","incorp.sf","t.incorp.sf","app.mthd.rl","app.mthd.sf","app.rate.ni","app.timing","air.temp","wind.2m","rain.rate","ct","tan.app","man.dm","man.ph","app.mthd","id","stype","EF.field.raw","EF.stor.raw","EF.stor.lf","EF.stor.sf","N.loss.stor.sf","EF.overall","stor.frac.EF","man.dm.lf","man.ph.lf","EF.field.lf","man.dm.sf","man.ph.sf","source","rdDM.lf","dpH.lf","TAN.sep.eff.sf","id.sep","incorp","t.incorp","EF.field.sf","EFp.overall","sep","EF.type"
"Cattle","sep incorp sf","deep",4,"Trailing hose","Broadcast",0,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,NA,NA,"Broadcast","sep 166","sf",NA,0.017,0.017,0.0517241379310345,0.224137931034483,0.221297793038369,8.2044646954315,4.33333333333334,7.07,0.211,15,7,"Fournel et al. (2019)",-33.3333333333333,0.0700000000000003,3.32995826677847,21,"deep",4,0.102,22.1297793038369,TRUE,"Separation w/ SF incorporation"
"Cattle","sep","none",NA,"Trailing shoe","Broadcast",0,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,NA,NA,"Broadcast","sep 375","sf",NA,0.017,0.017,0.0517241379310345,0.224137931034483,0.202595270696552,9.65944868289052,3.28735632183908,7.1,0.1611,15,7,"Pedersen et al. (2020)",-49.4252873563218,0.0999999999999996,7.4,67,"none",NA,0.6337,20.2595270696552,TRUE,"Separation"
"Cattle","sep","none",NA,"Trailing hose","Broadcast",0,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,NA,NA,"Broadcast","sep 199","sf",NA,0.017,0.017,0.0517241379310345,0.224137931034483,0.295844668137931,6.55110124709307,5.01754385964913,7.2,0.2588,15,7,"Balsari et al. (2008b)",-22.8070175438596,0.2,6.85714285714286,15,"none",NA,0.7426,29.5844668137931,TRUE,"Separation"
"Cattle","sep incorp sf","deep",4,"Open slot injection","Broadcast",0,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,NA,NA,"Broadcast","sep 377","sf",NA,0.017,0.017,0.0517241379310345,0.224137931034483,0.119182367103448,16.4198670344502,3.28735632183908,7.1,0.103,15,7,"Pedersen et al. (2020)",-49.4252873563218,0.0999999999999996,7.4,67,"deep",4,0.102,11.9182367103448,TRUE,"Separation w/ SF incorporation"
"Cattle","sep incorp sf","deep",4,"Trailing shoe","Broadcast",0,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,NA,NA,"Broadcast","sep 378","sf",NA,0.017,0.017,0.0517241379310345,0.224137931034483,0.172068356903448,11.3731464396313,3.28735632183908,7.1,0.1611,15,7,"Pedersen et al. (2020)",-49.4252873563218,0.0999999999999996,7.4,67,"deep",4,0.102,17.2068356903448,TRUE,"Separation w/ SF incorporation"
"Cattle","sep","none",NA,"Trailing hose","Broadcast",0,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,NA,NA,"Broadcast","sep 379","sf",NA,0.017,0.017,0.0517241379310345,0.224137931034483,0.225232276765517,8.68862424512535,3.28735632183908,7.1,0.1791,15,7,"Pedersen et al. (2020)",-49.4252873563218,0.0999999999999996,7.4,67,"none",NA,0.7426,22.5232276765517,TRUE,"Separation"
"Cattle","sep incorp sf","deep",4,"Trailing hose","Broadcast",0,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,NA,NA,"Broadcast","sep 232","sf",NA,0.017,0.017,0.0517241379310345,0.224137931034483,0.213522603724138,10.2384379588162,3.98308270676692,7.1,0.2054,15,7,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,14,28,"deep",4,0.1659,21.3522603724138,TRUE,"Separation w/ SF incorporation"
"Cattle","sep incorp sf","deep",4,"Open slot injection","Broadcast",0,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,NA,NA,"Broadcast","sep 101","sf",NA,0.017,0.017,0.0517241379310345,0.224137931034483,0.124332919096552,15.7396660104953,3.32222222222222,7.3,0.1109,15,7,"Anderson et al, in prep",-48.8888888888889,0.3,7.4,11,"deep",4,0.06646,12.4332919096552,TRUE,"Separation w/ SF incorporation"
"Cattle","sep","none",NA,"Trailing shoe","Broadcast",0,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,NA,NA,"Broadcast","sep 381","sf",NA,0.017,0.017,0.0517241379310345,0.224137931034483,0.217222006365517,9.00902562052899,3.28735632183908,7.1,0.1703,15,7,"Pedersen et al. (2020)",-49.4252873563218,0.0999999999999996,7.4,67,"none",NA,0.7426,21.7222006365517,TRUE,"Separation"
"Cattle","sep","none",NA,"Open slot injection","Broadcast",0,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,NA,NA,"Broadcast","sep 134","sf",NA,0.017,0.017,0.0517241379310345,0.224137931034483,0.188413371788506,11.4308698750413,4.02816901408451,7.3,0.1201,15,7,"Balsari et al. (2008b)",-38.0281690140845,0.3,13.0666666666667,16,"none",NA,0.6337,18.8413371788506,TRUE,"Separation"
