"app.timing","man.source","stype","scenario","app.mthd","incorp","EFp.field.p.mean","EFp.field.mean","EFp.field.min","EFp.field.max","EFp.field.sd","EFp.field.n","EFp.field.se","EFp.field.p.qs.5","EFp.field.p.qs.95","sep","EF.type"
"April","Digestate","lf","sep","Trailing shoe","none",23.5866666666667,23.5866666666667,18.62,29.5,2.43396624189134,33,0.423699138063744,22.7236197647493,24.449713568584,TRUE,"LF"
"Autumn","Digestate","lf","sep","Trailing shoe","none",24.5615151515152,24.5615151515152,18.91,31.73,2.85331618605015,33,0.496698593368062,23.549773225034,25.5732570779963,TRUE,"LF"
"March","Digestate","lf","sep","Trailing shoe","none",22.4584848484848,22.4584848484848,18.24,27.08,1.99214256708092,33,0.346787508407013,21.7521018095152,23.1648678874545,TRUE,"LF"
"May","Digestate","lf","sep","Trailing shoe","none",24.339696969697,24.339696969697,18.85,31.21,2.75442993744677,33,0.479484707004933,23.3630185823194,25.3163753570745,TRUE,"LF"
"Summer","Digestate","lf","sep","Trailing shoe","none",24.8251515151515,24.8251515151515,18.99,32.36,2.97374986466175,33,0.517663405838891,23.7707056631092,25.8795973671939,TRUE,"LF"
"April","Pig","lf","sep","Trailing shoe","none",11.7308333333333,11.7308333333333,11.11,12.94,0.557509342223668,24,0.113801117940223,11.4954177846321,11.9662488820346,TRUE,"LF"
"Autumn","Pig","lf","sep","Trailing shoe","none",12.14375,12.14375,11.38,13.69,0.681104043000263,24,0.139029780591441,11.8561449863046,12.4313550136954,TRUE,"LF"
"March","Pig","lf","sep","Trailing shoe","none",11.2879166666667,11.2879166666667,10.81,12.36,0.444081652956698,24,0.0906477878229693,11.100397430519,11.4754359028143,TRUE,"LF"
"May","Pig","lf","sep","Trailing shoe","none",12.0445833333333,12.0445833333333,11.32,13.51,0.650979056409696,24,0.132880543453519,11.7696989858416,12.3194676808251,TRUE,"LF"
"Summer","Pig","lf","sep","Trailing shoe","none",12.2595833333333,12.2595833333333,11.45,13.9,0.718437187758,24,0.146650376853934,11.9562139151836,12.562952751483,TRUE,"LF"
"April","Cattle","lf","sep incorp sf","Trailing shoe","none",16.3088888888889,16.3088888888889,14.42,19.4,1.48737593751115,27,0.286245632636079,15.7205025643225,16.8972752134553,TRUE,"LF"
"Autumn","Cattle","lf","sep incorp sf","Trailing shoe","none",18.6433333333333,18.6433333333333,15.84,24.2,2.12495972812518,27,0.408948690350062,17.8027272614243,19.4839394052423,TRUE,"LF"
"March","Cattle","lf","sep incorp sf","Trailing shoe","none",14.3207407407407,14.3207407407407,11.98,17.51,1.21397289896859,27,0.233629193336142,13.8405090561119,14.8009724253696,TRUE,"LF"
"May","Cattle","lf","sep incorp sf","Trailing shoe","none",18.0403703703704,18.0403703703704,15.49,22.81,1.92276139861695,27,0.370035603692972,17.2797512936335,18.8009894471073,TRUE,"LF"
"Summer","Cattle","lf","sep incorp sf","Trailing shoe","none",19.4222222222222,19.4222222222222,16.28,26.08,2.42350085831559,27,0.466402957643265,18.4635172125164,20.3809272319281,TRUE,"LF"
"April","Digestate","lf","sep incorp sf","Trailing shoe","none",23.5866666666667,23.5866666666667,18.62,29.5,2.43396624189134,33,0.423699138063744,22.7236197647493,24.449713568584,TRUE,"LF"
"Autumn","Digestate","lf","sep incorp sf","Trailing shoe","none",24.5615151515152,24.5615151515152,18.91,31.73,2.85331618605015,33,0.496698593368062,23.549773225034,25.5732570779963,TRUE,"LF"
