"meas_part_dat","meas_full_dat","batch_arrangement","farm","subdat","weeksets","error"
22.1233651606854,23.5568758909784,5,"section5",2,"1,9,4,8,3,7,2,10",-6.08531766660113
19.3042136898398,22.656088982581,5,"section5",3,"1,9,4,8,3,7,2,10",-14.794589195506
21.1478823668862,23.1006588598083,6,"section5",1,"1,9,4,8,3,7,2,10",-8.45333678477757
21.5815466788987,23.5568758909784,6,"section5",2,"1,9,4,8,3,7,2,10",-8.38536154463604
21.5651606947379,22.656088982581,6,"section5",3,"1,9,4,8,3,7,2,10",-4.81516597450624
23.118415363879,23.1006588598083,7,"section5",1,"1,9,4,8,3,7,2,10",0.0768657906186743
23.8844228652598,23.5568758909784,7,"section5",2,"1,9,4,8,3,7,2,10",1.39045167023544
21.5651606947379,22.656088982581,7,"section5",3,"1,9,4,8,3,7,2,10",-4.81516597450624
23.5355269079481,23.1006588598083,8,"section5",1,"1,9,4,8,3,7,2,10",1.88249197037562
23.8844228652598,23.5568758909784,8,"section5",2,"1,9,4,8,3,7,2,10",1.39045167023544
23.4880623961744,22.656088982581,8,"section5",3,"1,9,4,8,3,7,2,10",3.67218461329781
21.5571982786623,23.1006588598083,9,"section5",1,"1,9,4,8,3,7,2,10",-6.68145696844786
21.6234758603618,23.5568758909784,9,"section5",2,"1,9,4,8,3,7,2,10",-8.20737027933776
21.5097337668886,22.656088982581,9,"section5",3,"1,9,4,8,3,7,2,10",-5.05981070507697
20.857468358981,23.1006588598083,10,"section5",1,"1,9,4,8,3,7,2,10",-9.7105044251796
21.6234758603618,23.5568758909784,10,"section5",2,"1,9,4,8,3,7,2,10",-8.20737027933776
19.3042136898398,22.656088982581,10,"section5",3,"1,9,4,8,3,7,2,10",-14.794589195506
20.857468358981,23.1006588598083,11,"section5",1,"1,9,4,8,3,7,2,10",-9.7105044251796
21.2911326709935,23.5568758909784,11,"section5",2,"1,9,4,8,3,7,2,10",-9.61818209880978
21.2747466868327,22.656088982581,11,"section5",3,"1,9,4,8,3,7,2,10",-6.09700242972349
23.118415363879,23.1006588598083,12,"section5",1,"1,9,4,8,3,7,2,10",0.0768657906186743
24.0938981576783,23.5568758909784,12,"section5",2,"1,9,4,8,3,7,2,10",2.27968372879834
21.2747466868327,22.656088982581,12,"section5",3,"1,9,4,8,3,7,2,10",-6.09700242972349
23.5355269079481,23.1006588598083,13,"section5",1,"1,9,4,8,3,7,2,10",1.88249197037562
24.3890743525224,23.5568758909784,13,"section5",2,"1,9,4,8,3,7,2,10",3.53271998118692
21.9223168155325,22.656088982581,13,"section5",3,"1,9,4,8,3,7,2,10",-3.23874154807828
21.5571982786623,23.1006588598083,14,"section5",1,"1,9,4,8,3,7,2,10",-6.68145696844786
21.9366545516732,23.5568758909784,14,"section5",2,"1,9,4,8,3,7,2,10",-6.87791261797021
21.9223168155325,22.656088982581,14,"section5",3,"1,9,4,8,3,7,2,10",-3.23874154807828
21.2663979879651,23.1006588598083,15,"section5",1,"1,9,4,8,3,7,2,10",-7.94029678103516
21.9366545516732,23.5568758909784,15,"section5",2,"1,9,4,8,3,7,2,10",-6.87791261797021
19.9073001524665,22.656088982581,15,"section5",3,"1,9,4,8,3,7,2,10",-12.1326714077961
21.2663979879651,23.1006588598083,16,"section5",1,"1,9,4,8,3,7,2,10",-7.94029678103516
21.2911326709935,23.5568758909784,16,"section5",2,"1,9,4,8,3,7,2,10",-9.61818209880978
21.2189334761913,22.656088982581,16,"section5",3,"1,9,4,8,3,7,2,10",-6.34335214473508
23.7188177888142,23.1006588598083,17,"section5",1,"1,9,4,8,3,7,2,10",2.67593635643619
24.0938981576783,23.5568758909784,17,"section5",2,"1,9,4,8,3,7,2,10",2.27968372879834
23.6713532770405,22.656088982581,17,"section5",3,"1,9,4,8,3,7,2,10",4.48119838883105
23.7188177888142,23.1006588598083,18,"section5",1,"1,9,4,8,3,7,2,10",2.67593635643619
24.3890743525224,23.5568758909784,18,"section5",2,"1,9,4,8,3,7,2,10",3.53271998118692
22.3597199533157,22.656088982581,18,"section5",3,"1,9,4,8,3,7,2,10",-1.30812087422996
21.9946014164455,23.1006588598083,19,"section5",1,"1,9,4,8,3,7,2,10",-4.78799089703551
22.3740576894564,23.5568758909784,19,"section5",2,"1,9,4,8,3,7,2,10",-5.02111658182564
22.3597199533157,22.656088982581,19,"section5",3,"1,9,4,8,3,7,2,10",-1.30812087422996
21.5205102448821,23.1006588598083,20,"section5",1,"1,9,4,8,3,7,2,10",-6.84027509568336
22.3740576894564,23.5568758909784,20,"section5",2,"1,9,4,8,3,7,2,10",-5.02111658182564
19.9073001524665,22.656088982581,20,"section5",3,"1,9,4,8,3,7,2,10",-12.1326714077961
22.8321435686069,23.1006588598083,21,"section5",1,"1,9,4,8,3,7,2,10",-1.16237070479671
23.6856910131812,23.5568758909784,21,"section5",2,"1,9,4,8,3,7,2,10",0.546826000183365
21.2189334761913,22.656088982581,21,"section5",3,"1,9,4,8,3,7,2,10",-6.34335214473508
23.3062347401703,23.1006588598083,22,"section5",1,"1,9,4,8,3,7,2,10",0.889913493851124
23.6856910131812,23.5568758909784,22,"section5",2,"1,9,4,8,3,7,2,10",0.546826000183365
23.6713532770405,22.656088982581,22,"section5",3,"1,9,4,8,3,7,2,10",4.48119838883105
23.3062347401703,23.1006588598083,23,"section5",1,"1,9,4,8,3,7,2,10",0.889913493851124
23.9764913038785,23.5568758909784,23,"section5",2,"1,9,4,8,3,7,2,10",1.78128634222137
21.9471369046717,22.656088982581,23,"section5",3,"1,9,4,8,3,7,2,10",-3.12919003122863
21.9946014164455,23.1006588598083,24,"section5",1,"1,9,4,8,3,7,2,10",-4.78799089703551
22.1233651606854,23.5568758909784,24,"section5",2,"1,9,4,8,3,7,2,10",-6.08531766660113
21.9471369046717,22.656088982581,24,"section5",3,"1,9,4,8,3,7,2,10",-3.12919003122863
27.4321428379386,28.4636102278458,1,"section6",1,"1,9,4,8,3,7,2,10",-3.62381082951346
26.0415001803327,28.4196369842612,1,"section6",2,"1,9,4,8,3,7,2,10",-8.36793518947992
24.3066912673379,33.3002364593696,1,"section6",3,"1,9,4,8,3,7,2,10",-27.0074514425895
